fips,rate
28159,265.73
28161,265.73
28163,265.73
29001,383.31
29003,282.66
29005,282.66
29007,301.87
29009,268.94
29011,271.37
29013,288.15
29015,288.15
29017,310.45
29019,301.87
29021,282.66
29023,310.45
29025,282.66
29027,301.87
29029,301.87
29031,310.45
29033,282.66
29035,345.43
29037,245.20
29039,268.94
29041,301.87
29043,268.94
29045,383.31
29047,245.20
29049,282.66
29051,301.87
29053,301.87
29055,345.43
29057,268.94
29059,268.94
29061,282.66
29063,282.66
29065,345.43
29067,268.94
29069,310.45
29071,269.11
29073,301.87
29075,282.66
29077,268.94
29079,282.66
29081,282.66
29083,288.15
29085,268.94
29087,282.66
29089,301.87
29091,345.43
29093,345.43
29095,245.20
29097,271.37
29099,269.11
29101,288.15
29103,383.31
29105,268.94
29107,288.15
29109,268.94
29111,383.31
29113,269.11
29115,383.31
29117,282.66
29119,271.37
29121,383.31
29123,310.45
29125,301.87
29127,383.31
29129,282.66
29131,301.87
29133,310.45
29135,301.87
29137,301.87
29139,301.87
29141,301.87
29143,310.45
29145,271.37
29147,282.66
29149,345.43
29151,301.87
29153,268.94
29155,310.45
29157,310.45
29159,288.15
29161,345.43
29163,383.31
29165,245.20
29167,268.94
29169,345.43
29171,383.31
29173,383.31
29175,301.87
29177,282.66
29179,345.43
29181,345.43
29183,269.11
29185,288.15
29186,269.11
29187,269.11
29189,269.11
29195,288.15
29197,383.31
29199,383.31
29201,310.45
29203,345.43
29205,383.31
29207,310.45
29209,268.94
29211,383.31
29213,268.94
29215,345.43
29217,288.15
29219,269.11
29221,269.11
29223,310.45
29225,268.94
29227,282.66
29229,268.94
29510,269.11
30001,232.07
30003,232.07
30005,232.07
30007,232.07
30009,235.02
30011,232.07
30013,232.07
30015,232.07
30017,232.07
30019,232.07
30021,232.07
30023,232.07
30025,232.07
30027,232.07
30029,235.02
30031,232.07
30033,232.07
30035,232.07
30037,232.07
30039,232.07
30041,232.07
30043,232.07
30045,232.07
30047,235.02
30049,232.07
30051,232.07
30053,232.07
30055,232.07
30057,232.07
30059,232.07
30061,232.07
30063,235.02
30065,235.02
30067,232.07
30069,232.07
30071,232.07
30073,232.07
30075,232.07
30077,232.07
30079,232.07
30081,232.07
30083,232.07
30085,232.07
30087,232.07
30089,232.07
30091,232.07
30093,232.07
30095,235.02
30097,235.02
30099,232.07
30101,232.07
30103,232.07
30105,232.07
30107,232.07
30109,232.07
30111,235.02
32001,246.66
32003,231.52
32005,333.90
32007,246.66
32009,246.66
32011,246.66
32013,246.66
32015,246.66
32017,246.66
32019,333.90
32021,246.66
32023,231.52
32027,246.66
32029,333.90
32031,300.97
32033,246.66
32510,333.90
33001,240.45
33003,240.45
33005,240.45
33007,240.45
33009,240.45
33011,240.45
33013,240.45
33015,240.45
33017,240.45
33019,240.45
34001,
34003,
34005,
34007,
34009,
34011,
34013,
34015,
34017,
34019,
34021,
34023,
34025,
34027,
34029,
34031,
34033,
34035,
34037,
34039,
34041,
35001,167.18
35003,211.11
35005,211.11
35006,211.11
35007,211.11
35009,211.11
35011,211.11
35013,203.70
35015,211.11
35017,211.11
35019,211.11
35021,211.11
35023,211.11
35025,211.11
35027,211.11
35028,211.11
35029,211.11
35031,211.11
35033,211.11
35035,211.11
35037,211.11
35039,211.11
35041,211.11
35043,167.18
35045,229.16
35047,211.11
35049,197.95
35051,211.11
35053,211.11
35055,211.11
35057,167.18
35059,211.11
35061,167.18
36001,
36003,
36005,
36007,
36009,
36011,
36013,
36015,
36017,
36019,
36021,
36023,
36025,
36027,
36029,
36031,
36033,
36035,
36037,
36039,
36041,
36043,
36045,
36047,
36049,
36051,
36053,
36055,
36057,
36059,
36061,
36063,
36065,
36067,
36069,
36071,
36073,
36075,
36077,
36079,
36081,
36083,
36085,
36087,
36089,
36091,
36093,
36095,
36097,
36099,
36101,
36103,
36105,
36107,
36109,
36111,
36113,
36115,
36117,
36119,
36121,
36123,
37001,283.08
37003,320.27
37005,337.25
37007,318.13
37009,337.25
37011,321.80
37013,355.30
37015,344.64
37017,274.67
37019,307.51
37021,321.80
37023,320.27
37025,318.13
37027,320.27
37029,344.64
37031,355.30
37033,283.08
37035,320.27
37037,283.08
37039,321.80
37041,344.64
37043,321.80
37045,299.97
37047,307.51
37049,355.30
37051,274.67
37053,344.64
37055,355.30
37057,302.23
37059,302.23
37061,307.51
37063,283.08
37065,322.19
37067,302.23
37069,283.08
37071,299.97
37073,344.64
37075,321.80
37077,300.59
37079,322.19
37081,293.45
37083,344.64
37085,274.67
37087,321.80
37089,321.80
37091,344.64
37093,274.67
37095,355.30
37097,320.27
37099,321.80
37101,283.08
37103,355.30
37105,283.08
37107,355.30
37109,299.97
37111,321.80
37113,321.80
37115,321.80
37117,344.64
37119,318.13
37121,321.80
37123,333.98
37125,333.98
37127,322.19
37129,307.51
37131,344.64
37133,307.51
37135,283.08
37137,355.30
37139,344.64
37141,307.51
37143,344.64
37145,283.08
37147,322.19
37149,321.80
37151,293.45
37153,274.67
37155,274.67
37157,293.45
37159,318.13
37161,321.80
37163,274.67
37165,274.67
37167,318.13
37169,302.23
37171,302.23
37173,321.80
37175,321.80
37177,355.30
37179,318.13
37181,300.59
37183,283.08
37185,300.59
37187,355.30
37189,337.25
37191,322.19
37193,337.25
37195,322.19
37197,302.23
37199,321.80
38001,297.93
38003,297.93
38005,297.93
38007,297.93
38009,297.93
38011,297.93
38013,297.93
38015,297.93
38017,265.63
38019,297.93
38021,297.93
38023,297.93
38025,297.93
38027,297.93
38029,297.93
38031,297.93
38033,297.93
38035,297.93
38037,297.93
38039,297.93
38041,297.93
38043,297.93
38045,297.93
38047,297.93
38049,297.93
38051,297.93
38053,297.93
38055,297.93
38057,297.93
38059,297.93
38061,297.93
38063,297.93
38065,297.93
38067,297.93
38069,297.93
38071,297.93
38073,297.93
38075,297.93
38077,297.93
38079,297.93
38081,297.93
38083,297.93
38085,297.93
38087,297.93
38089,297.93
38091,297.93
38093,297.93
38095,297.93
38097,297.93
38099,297.93
